,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1214,22e0ocAv72IovocG4dEGBK,0.602,0.99,3,-7.942,1,0.135,0.000901,0.638,0.256,0.0366,137.964,4
1215,2QNLVRzjjj0HVNNRnLbUS9,0.527,0.935,4,-5.008,0,0.04,0.000587,0.773,0.925,0.0578,138.048,4
1216,7lrIYVaHBzP9mz8sEFChiq,0.763,0.645,0,-10.608,1,0.0455,0.118,0.00283,0.306,0.593,126.967,4
1217,20qsOjwLKHgY28t6CNTbMq,0.667,0.927,7,-4.718,0,0.236,0.000346,0.932,0.138,0.667,129.99,3
1218,4wGIOAlCllMokaM4kCMeuY,0.496,0.997,1,-5.993,0,0.0784,0.00321,0.0353,0.339,0.388,163.029,4
1219,2yAVzRiEQooPEJ9SYx11L3,0.822,0.969,7,-11.471,0,0.0582,0.259,0.000153,0.39,0.765,128.007,4
1220,07mulrb7GK0NJDd4L8UOH2,0.479,0.953,1,-5.061,0,0.0874,4.68e-06,0.0646,0.0805,0.271,95.02,4
1221,2MjJHuYIFlzQrobIEgPBxv,0.363,0.988,10,-3.207,0,0.0922,0.000255,0.0462,0.615,0.0857,89.944,4
1222,0wYVNC09iLBVIqHB07Hckt,0.658,0.878,8,-6.834,0,0.0346,0.135,0.591,0.0948,0.907,130.009,4
1223,2u5woInaGB7YASEd1CwGBJ,0.7,0.861,5,-5.821,1,0.125,0.0131,0.000207,0.0751,0.773,128.032,4
1224,0v1XpBHnsbkCn7iJ9Ucr1l,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,4
1225,0A4PZuepTcIQVvA5m7R0M1,0.602,0.784,11,-7.976,0,0.0313,0.00398,0.0852,0.0931,0.918,133.019,4
1226,1VPmeKAZHB1byxOEgRJOA3,0.638,0.632,7,-13.383,0,0.0297,0.00133,0.803,0.0657,0.965,125.373,4
1227,7nqnMxJAtbgctaOtUpyHVK,0.774,0.682,1,-5.153,0,0.0311,0.0904,0.000144,0.0568,0.893,124.121,4
1228,2yVvXAQIuYpd6PIetGYppQ,0.605,0.828,5,-6.144,0,0.0389,0.032,0.00253,0.121,0.365,90.005,4
1229,2hnTGEeWAh9UHIjpMsPiFf,0.694,0.895,9,-3.258,0,0.335,0.269,4.17e-06,0.4,0.779,167.974,4
1230,4pEXlAqaJXQUKDteKRLun9,0.609,0.901,4,-4.929,0,0.144,0.315,0.00949,0.116,0.866,176.664,4
1231,2kFCYlFRuC7YqM5stlM9fH,0.558,0.828,6,-10.69,0,0.0524,0.0427,0.0101,0.331,0.724,124.852,4
1232,1Wjv9DU0smGPmUXrzDEezL,0.482,0.957,1,-5.601,1,0.152,2.34e-05,0.0262,0.118,0.138,125.789,4
1233,6VOM9VW2HspbL77jPEaBxW,0.541,0.98,1,-3.463,1,0.0832,0.000172,1.6e-06,0.319,0.388,107.779,4
1234,76u2aab2a33Ohs7dOKoUOa,0.219,0.921,7,-5.663,1,0.0787,1.37e-05,0.0515,0.123,0.535,166.307,4
1235,04K2bMi2vyOBwxr5EjDq5O,0.505,0.981,2,-3.779,1,0.156,0.000212,3.75e-06,0.588,0.256,120.052,4
1236,68ae1LwQdpHhYwPrz7rTdl,0.359,0.979,6,-5.599,0,0.0866,0.000449,0.000282,0.326,0.303,149.026,4
1237,2CVqF1sLhwut4NiZxzNUnC,0.705,0.936,8,-3.111,1,0.0502,0.0437,0.000113,0.309,0.659,125.553,4
1238,48gBfTRel9fajeev7tmLpo,0.666,0.854,8,-8.442,0,0.0565,0.0044,0.769,0.313,0.748,136.954,4
1239,0BB9eUBBaaX6GALSYNcEp7,0.554,0.851,6,-10.526,0,0.0334,0.006,0.0242,0.405,0.96,128.103,4
1240,756CJtQRFSxEx9jV4P9hpA,0.442,0.846,4,-5.214,1,0.0764,0.0538,4.71e-06,0.282,0.622,128.235,4
1241,1li0jGGRIaMaNNRBV8JXZ4,0.536,0.914,6,-3.803,0,0.0668,0.0722,0.00104,0.0528,0.193,117.657,4
1242,2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
1243,1zkdINXJTDhqKaFL0kjIT8,0.481,0.932,8,-4.344,1,0.0434,1.79e-05,0.0,0.295,0.416,114.628,4
1244,6N0QViR54VhnZLkZa9RNoL,0.202,0.875,11,-8.91,0,0.215,0.00112,0.329,0.0949,0.0384,103.1,3
1245,0y3uXGEFwNlPaPBowQzuTk,0.199,0.954,11,-5.193,1,0.223,6.17e-06,0.0107,0.807,0.382,102.014,4
1246,0BlfweKhbMvHiubrdoY1EE,0.279,0.962,4,-4.992,0,0.152,3.47e-05,0.00106,0.642,0.0794,112.883,4
1247,2YC6ET3q1F29B0V7UcPV70,0.427,0.908,8,-5.399,1,0.165,0.00325,6.12e-05,0.0475,0.617,108.681,4
1248,1pr9TZGOXeJUggIal1Wq3R,0.283,0.891,2,-8.165,1,0.178,0.00678,0.0038,0.159,0.226,92.049,4
1249,1Vej0qeQ3ioKwpI6FUbRv1,0.524,0.939,9,-3.994,1,0.113,0.00022,0.0,0.623,0.661,150.184,4
1250,2gscB6kDOmrv1P6qs2KXE3,0.382,0.996,7,-4.119,1,0.104,0.00208,0.0,0.417,0.327,93.345,4
1251,4ImIJRZNJhNQLLdUFSYJoS,0.649,0.896,10,-2.704,0,0.056,0.000319,1.19e-05,0.102,0.924,90.009,4
1252,1cqWEQ6TRfYr3SBNh7Ni2w,0.615,0.919,4,-4.318,0,0.0798,0.00218,0.000607,0.113,0.542,130.919,4
1253,5eek2X5459T1HoYJk2CKXv,0.581,0.887,4,-3.659,0,0.0624,0.000504,0.00111,0.268,0.724,90.578,4
1254,6W21LNLz9Sw7sUSNWMSHRu,0.353,0.898,2,-5.877,1,0.052,2.23e-05,0.105,0.39,0.525,103.293,4
1255,3K4HG9evC7dg3N0R9cYqk4,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,4
